#DiseaseName,SourceName,ConceptID,SourceID,DiseaseMIM,LastModified,Category
Clinical features observed in this individual,"Institute of Medical Genetics and Genomics,Sir Ganga Ram Hospital",,,,29-Sep-17,Finding
1-2 finger syndactyly,Human Phenotype Ontology,C4023732,HP:0010704,,16-Feb-16,Finding
1-2 toe complete cutaneous syndactyly,Human Phenotype Ontology,C4025140,HP:0005767,,16-Feb-16,Finding
1-2 toe syndactyly,Human Phenotype Ontology,C4023726,HP:0010711,,16-Feb-16,Finding
1-3 finger syndactyly,Human Phenotype Ontology,C4023730,HP:0010706,,16-Feb-16,Finding
1-3 toe syndactyly,Human Phenotype Ontology,C4025774,HP:0001459,,16-Feb-16,Finding
1-4 finger syndactyly,Human Phenotype Ontology,C4023729,HP:0010707,,16-Feb-16,Finding
1-4 toe syndactyly,Human Phenotype Ontology,C4023725,HP:0010712,,16-Feb-16,Finding
1-5 finger complete cutaneous syndactyly,Human Phenotype Ontology,C1861357,HP:0006088,,16-Feb-16,Finding
1-5 finger syndactyly,Human Phenotype Ontology,C4023728,HP:0010708,,16-Feb-16,Finding
1-5 toe syndactyly,Human Phenotype Ontology,C4021235,HP:0010713,,16-Feb-16,Finding
1-minute APGAR score of 0,Human Phenotype Ontology,C4476857,HP:0030927,,02-Apr-17,Finding
1-minute APGAR score of 1,Human Phenotype Ontology,C4476858,HP:0030928,,02-Apr-17,Finding
1-minute APGAR score of 2,Human Phenotype Ontology,C4476859,HP:0030929,,02-Apr-17,Finding
1-minute APGAR score of 3,Human Phenotype Ontology,C4476860,HP:0030930,,02-Apr-17,Finding
1-minute APGAR score of 4,Human Phenotype Ontology,C4476861,HP:0030931,,02-Apr-17,Finding
1-minute APGAR score of 5,Human Phenotype Ontology,C4476862,HP:0030932,,02-Apr-17,Finding
1-minute APGAR score of 6,Human Phenotype Ontology,C4476863,HP:0030933,,02-Apr-17,Finding
10 pairs of ribs,Human Phenotype Ontology,C4022526,HP:0030300,,16-Feb-16,Finding
